model,window,rows,mean_error,mae,rmse,smape,max_abs_error,max_smape,diagnostic_group,hour,day_of_week,month,is_weekend,is_peak_hour,is_morning_ramp,is_evening_peak,price_regime
hist_gradient_boosting,test_2026_q2,1676,-0.550291245426593,9.941754900549427,18.70746415607555,0.5182410036848737,325.78519090989755,2.0,window,,,,,,,,
hist_gradient_boosting,wf_2026_01,744,-0.2599113778474943,5.045823415504947,6.964332827117875,0.058239103264901934,44.377202964310726,0.8258174753735563,window,,,,,,,,
hist_gradient_boosting,wf_2026_02,672,1.1173759897970523,7.495048667680454,10.706362511950848,0.4376934395310019,51.043599164982254,2.0,window,,,,,,,,
hist_gradient_boosting,wf_2026_03,744,-1.9814691159096331,10.308719477175417,15.288351639491239,0.39536075866125064,99.52240956943373,2.0,window,,,,,,,,
lightgbm,test_2026_q2,1676,-0.20381811250754248,9.952372288151613,18.77951006051698,0.5183992721647958,324.17659715143583,2.0,window,,,,,,,,
lightgbm,wf_2026_01,744,-0.29262166285787644,5.041346963523846,6.9535449336575414,0.058049168284468426,50.74949231120439,0.8583376717692641,window,,,,,,,,
lightgbm,wf_2026_02,672,1.4279423673371645,7.457582723026023,10.67469553069601,0.4341251702845438,47.56259268303554,2.0,window,,,,,,,,
lightgbm,wf_2026_03,744,-2.427662592389154,10.463152464220533,15.31495523951556,0.3980489656676629,100.60727249278172,2.0,window,,,,,,,,
naive_lag_24h,test_2026_q2,1676,0.531355906921241,25.405284904534607,39.86931713012631,0.8162376169326628,412.0875,2.0,window,,,,,,,,
naive_lag_24h,wf_2026_01,744,-0.759731182795699,19.373326612903224,26.410782862840158,0.21805972268173668,99.855,1.630140953852095,window,,,,,,,,
naive_lag_24h,wf_2026_02,672,3.3707998511904758,20.843188244047617,29.7040064338733,0.7570131605204529,113.135,2.0,window,,,,,,,,
naive_lag_24h,wf_2026_03,744,-3.0357560483870967,36.300749327956986,47.36959801696276,0.852956910595043,127.78500000000001,2.0,window,,,,,,,,
random_forest,test_2026_q2,1676,-0.007924731688082099,10.457387603883667,19.281001384719424,0.5282241586567781,327.7339682420235,2.0,window,,,,,,,,
random_forest,wf_2026_01,744,-0.40247423652160585,5.591252784176099,8.041560172838606,0.06199080895894335,64.48669869611814,0.8726769325449516,window,,,,,,,,
