timestamp_utc,window,model,actual_price_eur_mwh,predicted_price_eur_mwh,error,absolute_error,squared_error,symmetric_absolute_percentage_error,smape_pct,hour,day_of_week,is_peak_hour,is_evening_peak
2026-04-26 12:00:00+00:00,test_2026_q2,hist_gradient_boosting,-412.25,-84.49147686286955,327.75852313713045,327.75852313713045,107425.64948903288,1.3196342097586164,131.96342097586165,12,6,True,False
2026-04-26 11:00:00+00:00,test_2026_q2,hist_gradient_boosting,-412.55,-85.35164830395597,327.198351696044,327.198351696044,107058.76135260811,1.3143091725468559,131.4309172546856,11,6,True,False
2026-04-26 10:00:00+00:00,test_2026_q2,hist_gradient_boosting,-259.3425,-65.9036245090229,193.43887549097707,193.43887549097707,37418.59855121373,1.1894922700953552,118.94922700953552,10,6,True,False
2026-04-26 13:00:00+00:00,test_2026_q2,hist_gradient_boosting,-234.5725,-65.49640961160048,169.0760903883995,169.0760903883995,28586.72434102624,1.1269150849866196,112.69150849866196,13,6,True,False
2026-04-25 12:00:00+00:00,test_2026_q2,hist_gradient_boosting,-188.9825,-85.3789797965373,103.6035202034627,103.6035202034627,10733.689398549302,0.7552337177966355,75.52337177966355,12,5,True,False
2026-06-24 17:00:00+00:00,test_2026_q2,hist_gradient_boosting,313.355,215.91568531753984,-97.43931468246018,97.43931468246018,9494.4200457875,0.36820219742191374,36.82021974219138,17,2,True,True
2026-03-04 06:00:00+00:00,wf_2026_03,hist_gradient_boosting,199.1725,103.32825129867797,-95.84424870132204,95.84424870132204,9186.120009120872,0.6336794093227821,63.36794093227821,6,2,False,False
2026-04-25 11:00:00+00:00,test_2026_q2,hist_gradient_boosting,-174.855,-81.02912035889898,93.82587964110101,93.82587964110101,8803.295690426374,0.7333466376069162,73.33466376069163,11,5,True,False
2026-04-26 09:00:00+00:00,test_2026_q2,hist_gradient_boosting,-126.825,-49.55961899214352,77.26538100785649,77.26538100785649,5969.9391022892305,0.8761011186729158,87.61011186729158,9,6,True,False
2026-06-24 18:00:00+00:00,test_2026_q2,hist_gradient_boosting,311.29,235.08673575818958,-76.20326424181044,76.20326424181044,5806.937481107187,0.2789403693627826,27.894036936278262,18,2,True,True
2026-04-25 13:00:00+00:00,test_2026_q2,hist_gradient_boosting,-132.905,-62.43902089327521,70.46597910672479,70.46597910672479,4965.454211469374,0.7214551925827651,72.14551925827651,13,5,True,False
2026-03-10 23:00:00+00:00,wf_2026_03,hist_gradient_boosting,14.935,84.5826691578197,69.64766915781969,69.64766915781969,4850.797819117109,1.3997045900938299,139.97045900938298,23,1,False,False
2026-03-16 17:00:00+00:00,wf_2026_03,hist_gradient_boosting,165.99,97.86770923360537,-68.12229076639464,68.12229076639464,4640.646499261216,0.5163562661425432,51.63562661425431,17,0,True,True
2026-06-30 17:00:00+00:00,test_2026_q2,hist_gradient_boosting,200.7,133.6129704418817,-67.08702955811827,67.08702955811827,4500.669534931835,0.4013426668396699,40.13426668396699,17,1,True,True
2026-03-04 08:00:00+00:00,wf_2026_03,hist_gradient_boosting,81.705,147.69781102807096,65.99281102807096,65.99281102807096,4355.051107386684,0.5753443973273346,57.53443973273345,8,2,True,False
2026-04-14 09:00:00+00:00,test_2026_q2,hist_gradient_boosting,13.0075,77.23996953770903,64.23246953770902,64.23246953770902,4125.810142912717,1.4234741398676027,142.34741398676027,9,1,True,False
2026-03-26 17:00:00+00:00,wf_2026_03,hist_gradient_boosting,130.46,70.71285889573767,-59.74714110426234,59.74714110426234,3569.7208701326344,0.5939880899662278,59.398808996622776,17,3,True,True
2026-03-30 17:00:00+00:00,wf_2026_03,hist_gradient_boosting,121.9275,62.85105358393793,-59.07644641606206,59.07644641606206,3490.026521149852,0.6394296878098016,63.94296878098016,17,0,True,True
2026-02-14 17:00:00+00:00,wf_2026_02,hist_gradient_boosting,98.1275,43.601097349875765,-54.52640265012423,54.52640265012423,2973.128585963475,0.7694481377744621,76.94481377744621,17,5,True,True
2026-03-04 18:00:00+00:00,wf_2026_03,hist_gradient_boosting,176.985,122.53199239199789,-54.453007608002125,54.453007608002125,2965.1300375571373,0.3636054647392815,36.36054647392815,18,2,True,True
2026-04-20 06:00:00+00:00,test_2026_q2,hist_gradient_boosting,33.45,86.86791943971834,53.41791943971833,53.41791943971833,2853.474117268238,0.8879461960191519,88.79461960191519,6,0,False,False
