window,target,model,feature,importance,rank
test_2026_q2,consumption,xgboost,is_weekend,0.003619386116042733,8
test_2026_q2,consumption,xgboost,hour,0.003213004907593131,9
test_2026_q2,consumption,xgboost,consumption_rolling_mean_24h,0.003010406158864498,10
test_2026_q2,consumption,xgboost,is_morning_ramp,0.0026123253628611565,11
test_2026_q2,consumption,xgboost,day_of_week,0.002436078852042556,12
test_2026_q2,consumption,xgboost,is_evening_peak,0.002293009078130126,13
test_2026_q2,consumption,xgboost,day_of_year_sin,0.0022450112737715244,14
test_2026_q2,consumption,xgboost,consumption_rolling_min_24h,0.0019295553211122751,15
test_2026_q2,consumption,xgboost,consumption_rolling_max_24h,0.0017090670298784971,16
test_2026_q2,consumption,xgboost,consumption_lag_336h,0.001635040738619864,17
test_2026_q2,consumption,xgboost,consumption_rolling_std_24h,0.0016324676107615232,18
test_2026_q2,consumption,xgboost,consumption_lag_72h,0.0012723961845040321,19
test_2026_q2,consumption,xgboost,consumption_rolling_range_24h,0.0011976090027019382,20
test_2026_q2,consumption,xgboost,is_overnight,0.0010436450829729438,21
test_2026_q2,consumption,xgboost,consumption_rolling_mean_168h,0.0010082422522827983,22
test_2026_q2,consumption,xgboost,day_of_year_cos,0.000989033025689423,23
test_2026_q2,consumption,xgboost,day_of_year,0.0008944949950091541,24
test_2026_q2,consumption,xgboost,consumption_lag_48h,0.0008191803935915232,25
test_2026_q2,consumption,xgboost,month,0.0006962098996154964,26
test_2026_q2,consumption,xgboost,consumption_lag_24h_to_168h,0.00045767208212055266,27
test_2026_q2,production,ridge,total_production_lag_1h,1988.8021301580866,1
test_2026_q2,production,ridge,total_production_lag_24h,1501.297570865266,2
test_2026_q2,production,ridge,total_production_lag_168h,1199.839542727003,3
test_2026_q2,production,ridge,total_production_lag_1h_to_24h,1060.606301945419,4
test_2026_q2,production,ridge,hour_cos,665.5993335752541,5
test_2026_q2,production,ridge,total_production_lag_24h_to_168h,550.3360996444787,6
test_2026_q2,production,ridge,is_peak_hour,493.4058507865778,7
test_2026_q2,production,ridge,is_evening_peak,360.8892696649551,8
test_2026_q2,production,ridge,is_overnight,324.2781683306959,9
test_2026_q2,production,ridge,is_morning_ramp,287.50982919329533,10
test_2026_q2,production,ridge,total_production_rolling_mean_168h,252.13183585692337,11
test_2026_q2,production,ridge,hour,202.44187600123223,12
test_2026_q2,production,ridge,total_production_lag_72h,157.80107733035337,13
test_2026_q2,production,ridge,total_production_lag_336h,140.42956391346013,14
test_2026_q2,production,ridge,day_of_week,118.6187766349145,15
test_2026_q2,production,ridge,total_production_rolling_min_24h,106.64256394619531,16
