timestamp_utc,workload_end_utc,window,model,decision_date,duration_hours,actual_avg_price_eur_mwh,predicted_avg_price_eur_mwh,previous_day_avg_price_eur_mwh,actual_avg_carbon_intensity_g_co2e_per_kwh,predicted_avg_carbon_intensity_g_co2e_per_kwh,actual_total_emissions_kg_co2e,predicted_total_emissions_kg_co2e,decision_group,predicted_price_rank,predicted_carbon_rank,actual_price_rank,actual_carbon_rank,candidate_count,predicted_price_rank_pct,predicted_carbon_rank_pct,actual_price_rank_pct,actual_carbon_rank_pct,predicted_combined_score,actual_combined_score,predicted_decision_rank,actual_decision_rank,actual_best_combined_score,actual_best_price_eur_mwh,actual_best_carbon_intensity_g_co2e_per_kwh,run_now_price_eur_mwh,run_now_carbon_intensity_g_co2e_per_kwh,combined_regret,cost_regret_eur_mwh,carbon_regret_g_co2e_per_kwh,cost_savings_vs_run_now_eur_mwh,carbon_savings_vs_run_now_g_co2e_per_kwh,is_predicted_best,is_actual_best,is_predicted_top_3,is_actual_top_3,predicted_price_change_vs_previous_day_eur_mwh,actual_price_change_vs_previous_day_eur_mwh,predicted_price_direction_vs_previous_day,actual_price_direction_vs_previous_day,price_direction_correct
2026-04-01 13:00:00+00:00,2026-04-01 14:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,98.4175,93.60395868009698,,12.264913332762214,11.906811923076038,429505.0,414729.5,2026-04-01,1,2,2,6,24,0.0,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.021739130434782608,0.13043478260869565,1,3,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.06521739130434782,4.075000000000003,0.8760144047045042,14.530000000000001,3.4573418697685057,True,False,True,True,,,unknown,unknown,
2026-04-01 14:00:00+00:00,2026-04-01 15:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,106.6775,97.04658762540984,,11.38889892805771,12.61505547381856,393905.0,437460.1,2026-04-01,3,4,5,1,24,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.0,0.10869565217391304,0.08695652173913043,2,2,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.021739130434782608,12.334999999999994,0.0,6.27000000000001,4.33335627447301,False,False,True,True,,,unknown,unknown,
2026-04-01 12:00:00+00:00,2026-04-01 13:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,94.3425,94.22375025931022,,11.828524039381632,13.548267272958071,417195.0,477074.99999999994,2026-04-01,2,6,1,4,24,0.043478260869565216,0.21739130434782608,0.0,0.13043478260869565,0.13043478260869565,0.06521739130434782,3,1,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.0,0.0,0.439625111323922,18.605000000000004,3.893731163149088,False,True,True,True,,,unknown,unknown,
2026-04-01 15:00:00+00:00,2026-04-01 16:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,130.1,110.36875743253454,,12.374541455385549,13.054822213600389,419135.0,447518.0,2026-04-01,5,5,14,7,24,0.17391304347826086,0.17391304347826086,0.5652173913043478,0.2608695652173913,0.17391304347826086,0.4130434782608695,4,11,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.3478260869565217,35.75749999999999,0.9856425273278386,-17.15249999999999,3.3477137471451712,False,False,False,False,,,unknown,unknown,
2026-04-01 11:00:00+00:00,2026-04-01 12:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,101.7325,108.59886954296871,,13.711112047888037,14.806053583540582,487882.5,523897.4,2026-04-01,4,8,3,9,24,0.13043478260869565,0.30434782608695654,0.08695652173913043,0.34782608695652173,0.2173913043478261,0.21739130434782608,5,5,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.15217391304347827,7.390000000000001,2.3222131198303266,11.215000000000003,2.0111431546426832,False,False,False,False,,,unknown,unknown,
2026-04-01 03:00:00+00:00,2026-04-01 04:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,103.865,120.88938765892074,,12.005424391230006,11.96796238209065,356330.0,359835.1,2026-04-01,11,3,4,5,24,0.43478260869565216,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.2608695652173913,0.15217391304347827,6,4,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.08695652173913045,9.522499999999994,0.6165254631722963,9.08250000000001,3.7168308113007136,False,False,False,False,,,unknown,unknown,
2026-04-01 02:00:00+00:00,2026-04-01 03:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,124.32,124.47384961586368,,11.471335590129751,11.783130099258758,339715.0,357415.8,2026-04-01,14,1,11,2,24,0.5652173913043478,0.0,0.43478260869565216,0.043478260869565216,0.2826086956521739,0.2391304347826087,7,6,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.17391304347826086,29.977499999999992,0.08243666207204114,-11.372499999999988,4.250919612400969,False,False,False,False,,,unknown,unknown,
2026-04-01 01:00:00+00:00,2026-04-01 02:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,129.4275,110.63474427797824,,11.721631962759233,15.61481666969954,350005.0,495115.6999999999,2026-04-01,6,10,13,3,24,0.21739130434782608,0.391304347826087,0.5217391304347826,0.08695652173913043,0.30434782608695654,0.30434782608695654,8,7,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.2391304347826087,35.08500000000001,0.3327330347015227,-16.480000000000004,4.000623239771487,False,False,False,False,,,unknown,unknown,
2026-04-01 04:00:00+00:00,2026-04-01 05:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,121.2375,116.60632484009696,,13.045279860902347,14.03256845279742,401400.0,429200.7,2026-04-01,9,7,10,8,24,0.34782608695652173,0.2608695652173913,0.391304347826087,0.30434782608695654,0.30434782608695654,0.34782608695652173,9,10,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.2826086956521739,26.894999999999996,1.6563809328446375,-8.289999999999992,2.6769753416283724,False,False,False,False,,,unknown,unknown,
2026-04-01 10:00:00+00:00,2026-04-01 11:00:00+00:00,test_2026_q2,hist_gradient_boosting,2026-04-01,1,118.215,117.2540254750626,,15.184272923523377,19.891268489178447,536327.5,705450.6,2026-04-01,10,12,7,10,24,0.391304347826087,0.4782608695652174,0.2608695652173913,0.391304347826087,0.4347826086956522,0.32608695652173914,10,9,0.06521739130434782,94.3425,11.38889892805771,112.9475,15.72225520253072,0.2608695652173913,23.872500000000002,3.795373995465667,-5.267499999999998,0.537982279007343,False,False,False,False,,,unknown,unknown,
